PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
33,0,0,1.71162104606628,-450.310485839844,1331.8486328125,7,0,0,0
34,0,0,1.71022498607636,-449.979431152344,1330.90502929688,7,0,0,0
35,0,0,1.70882892608643,-449.648406982422,1329.96142578125,7,0,0,0
36,0,0,1.7074328660965,-449.317352294922,1329.01782226563,7,0,0,0
37,0,0,1.70603680610657,-448.986328125,1328.07421875,7,0,0,0
38,0,0,1.70464074611664,-448.655303955078,1327.13061523438,7,0,0,0
39,0,0,1.70324468612671,-448.324249267578,1326.18701171875,7,0,0,0
40,0,0,1.70184862613678,-447.993225097656,1325.24340820313,7,0,0,0
41,0,0,1.70045256614685,-447.662170410156,1324.2998046875,7,0,0,0
42,0,0,1.69905650615692,-447.331146240234,1323.35620117188,7,0,0,0
43,0,0,1.69766044616699,-447.000122070313,1322.41259765625,7,0,0,0
44,0,0,1.69626438617706,-446.669067382813,1321.46899414063,7,0,0,0
45,0,0,1.69486832618713,-446.338043212891,1320.525390625,7,0,0,0
46,0,0,1.6934722661972,-446.007019042969,1319.58178710938,7,0,0,0
47,0,0,1.69207620620728,-445.675964355469,1318.63818359375,7,0,0,0
48,0,0,1.68964540958405,-445.344940185547,1317.69458007813,7,0,0,0
49,0,0,1.68674898147583,-445.013885498047,1316.7509765625,7,0,0,0
50,0,0,1.68385255336761,-444.682830810547,1315.80737304688,7,0,0,0
51,0,0,1.6809561252594,-444.351776123047,1314.86376953125,7,0,0,0
52,0,0,1.67805969715118,-444.020721435547,1313.92016601563,7,0,0,0
53,0,0,1.67516326904297,-443.689666748047,1312.9765625,7,0,0,0
54,0,0,1.67226684093475,-443.358612060547,1312.03295898438,7,0,0,0
55,0,0,1.66937041282654,-443.027557373047,1311.08935546875,7,0,0,0
56,0,0,1.66647398471832,-442.696502685547,1310.14575195313,7,0,0,0
57,0,0,1.66357755661011,-442.365447998047,1309.2021484375,7,0,0,0
58,0,0,1.66068112850189,-442.034393310547,1308.25854492188,7,0,0,0
59,0,0,1.65778470039368,-441.703338623047,1307.31494140625,7,0,0,0
60,0,0,1.65488827228546,-441.372283935547,1306.37133789063,7,0,0,0
61,0,0,1.65199184417725,-441.041229248047,1305.427734375,7,0,0,0
62,0,0,1.64909529685974,-440.710174560547,1304.48413085938,7,0,0,0
63,0,0,1.64619886875153,-440.379119873047,1303.54052734375,7,0,0,0
64,0,0,1.64330244064331,-440.048065185547,1302.59692382813,7,0,0,0
65,0,0,1.64040589332581,-439.717010498047,1301.6533203125,7,0,0,0
66,0,0,1.63750946521759,-439.385955810547,1300.70971679688,7,0,0,0
67,0,0,1.63461291790009,-439.054901123047,1299.76611328125,7,0,0,0
68,0,0,1.63171648979187,-438.723846435547,1298.82250976563,7,0,0,0
69,0,0,1.62881994247437,-438.392791748047,1297.87890625,7,0,0,0
70,0,0,1.62592351436615,-438.061737060547,1296.93530273438,7,0,0,0
71,0,0,1.62302708625793,-437.730682373047,1295.99169921875,7,0,0,0
72,0,0,1.62013053894043,-437.399627685547,1295.04809570313,7,0,0,0
73,0,0,1.61723411083221,-437.068572998047,1294.1044921875,7,0,0,0
74,0,0,1.61433756351471,-436.737518310547,1293.16088867188,7,0,0,0
75,0,0,1.61144113540649,-436.406463623047,1292.21728515625,7,0,0,0
76,0,0,1.60854470729828,-436.075408935547,1291.27368164063,7,0,0,0
77,0,0,1.60564815998077,-435.744354248047,1290.330078125,7,0,0,0
78,0,0,1.60275173187256,-435.413299560547,1289.38647460938,7,0,0,0
79,0,0,1.59985518455505,-435.082244873047,1288.44287109375,7,0,0,0
80,0,0,1.59695875644684,-434.751190185547,1287.49926757813,7,0,0,0
81,0,0,1.59406232833862,-434.420135498047,1286.5556640625,7,0,0,0
82,0,0,1.59116578102112,-434.089080810547,1285.61206054688,7,0,0,0
83,0,0,1.5882693529129,-433.758056640625,1284.66845703125,7,0,0,0
84,0,0,1.58537292480469,-433.427001953125,1283.72485351563,7,0,0,0
85,0,0,1.58247637748718,-433.095977783203,1282.78125,7,0,0,0
86,0,0,1.57957994937897,-432.764953613281,1281.83764648438,7,0,0,0
87,0,0,1.57668352127075,-432.433898925781,1280.89404296875,7,0,0,0
88,0,0,1.57378697395325,-432.102874755859,1279.95043945313,7,0,0,0
89,0,0,1.57089054584503,-431.771820068359,1279.0068359375,7,0,0,0
90,0,0,1.56799411773682,-431.440795898438,1278.06323242188,7,0,0,0
91,0,0,1.5650976896286,-431.109771728516,1277.11962890625,7,0,0,0
92,0,0,1.5622011423111,-430.778717041016,1276.17602539063,7,0,0,0
